2026-01-15 11:05:06,131 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:05:06] "OPTIONS /users?page=1&limit=10 HTTP/1.1" 200 -
2026-01-15 11:05:06,137 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:05:06] "OPTIONS /users?page=1&limit=10 HTTP/1.1" 200 -
2026-01-15 11:05:06,169 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:05:06] "GET /users?page=1&limit=10 HTTP/1.1" 200 -
2026-01-15 11:05:06,230 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:05:06] "GET /users?page=1&limit=10 HTTP/1.1" 200 -
2026-01-15 11:27:35,157 | DEBUG | passlib.registry | registered 'pbkdf2_sha256' handler: <class 'passlib.handlers.pbkdf2.pbkdf2_sha256'>
2026-01-15 11:27:35,274 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-01-15 11:27:35,275 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-01-15 11:27:35,277 | INFO | werkzeug |  * Restarting with stat
2026-01-15 11:27:36,394 | DEBUG | passlib.registry | registered 'pbkdf2_sha256' handler: <class 'passlib.handlers.pbkdf2.pbkdf2_sha256'>
2026-01-15 11:27:36,475 | WARNING | werkzeug |  * Debugger is active!
2026-01-15 11:27:36,480 | INFO | werkzeug |  * Debugger PIN: 242-094-371
2026-01-15 11:35:13,500 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:35:13] "OPTIONS /login HTTP/1.1" 200 -
2026-01-15 11:35:13,599 | WARNING | app.errors | Invalid credentials
2026-01-15 11:35:13,600 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:35:13] "[31m[1mPOST /login HTTP/1.1[0m" 401 -
2026-01-15 11:35:26,151 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:35:26] "OPTIONS /login HTTP/1.1" 200 -
2026-01-15 11:35:26,186 | WARNING | app.errors | Invalid credentials
2026-01-15 11:35:26,186 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:35:26] "[31m[1mPOST /login HTTP/1.1[0m" 401 -
2026-01-15 11:35:51,016 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:35:51] "OPTIONS /login HTTP/1.1" 200 -
2026-01-15 11:35:51,073 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:35:51] "POST /login HTTP/1.1" 200 -
2026-01-15 11:47:18,817 | DEBUG | passlib.registry | registered 'pbkdf2_sha256' handler: <class 'passlib.handlers.pbkdf2.pbkdf2_sha256'>
2026-01-15 11:47:18,911 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-01-15 11:47:18,912 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-01-15 11:47:18,916 | INFO | werkzeug |  * Restarting with stat
2026-01-15 11:47:20,461 | DEBUG | passlib.registry | registered 'pbkdf2_sha256' handler: <class 'passlib.handlers.pbkdf2.pbkdf2_sha256'>
2026-01-15 11:47:20,536 | WARNING | werkzeug |  * Debugger is active!
2026-01-15 11:47:20,541 | INFO | werkzeug |  * Debugger PIN: 242-094-371
2026-01-15 11:47:41,046 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:47:41] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:47:41,049 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:47:41] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:47:41,221 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:47:41] "GET /users HTTP/1.1" 200 -
2026-01-15 11:47:41,309 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:47:41] "GET /users HTTP/1.1" 200 -
2026-01-15 11:48:12,611 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:12] "OPTIONS /login HTTP/1.1" 200 -
2026-01-15 11:48:12,649 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:12] "POST /login HTTP/1.1" 200 -
2026-01-15 11:48:12,717 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:12] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:48:12,726 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:12] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:48:12,798 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:12] "GET /users HTTP/1.1" 200 -
2026-01-15 11:48:12,856 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:12] "GET /users HTTP/1.1" 200 -
2026-01-15 11:48:26,363 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:26] "OPTIONS /users/308 HTTP/1.1" 200 -
2026-01-15 11:48:26,368 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:26] "OPTIONS /users/308 HTTP/1.1" 200 -
2026-01-15 11:48:26,379 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:26] "GET /users/308 HTTP/1.1" 200 -
2026-01-15 11:48:26,385 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:26] "GET /users/308 HTTP/1.1" 200 -
2026-01-15 11:48:34,806 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:34] "OPTIONS /users/308 HTTP/1.1" 200 -
2026-01-15 11:48:34,818 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:34] "PUT /users/308 HTTP/1.1" 200 -
2026-01-15 11:48:34,831 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:48:34] "OPTIONS /users/308/upload HTTP/1.1" 200 -
